Where (in which university) did you teach or engaged in research work?,Address,City,Oblast,Country,Column2,Column3,Column4,to_geocode,lat,lon
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Ural Federal University,Lenin Ave 51,Yekaterinburg,Sverdlovsk Oblast,Russia,NA,NA,NA,"Yekaterinburg, Russia",56.839104,60.60825
South Ural State University,Komsomol'skiy Prospekt 113а,Chelyabinsk,Chelyabinsk Oblast,Russia,NA,NA,NA,"Chelyabinsk, Russia",55.1598408,61.4025547
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Ulyanovsk State University,Universitetskaya Naberezhnaya Ulitsa 1 корп.4 317 кабинет,Ulyanovsk,Ulyanovsk Oblast,Russia,NA,NA,NA,"Ulyanovsk, Russia",54.3107593,48.3642771
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
"prospekti Vernadskogo, д. 82, Moscow, Russia, 119571",prospekti Vernadskogo д. 82,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
St. Petersburg State University,University Embankment 7/9,St Petersburg,St Petersburg,Russia,NA,NA,NA,"St Petersburg, Russia",59.938732,30.316229
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Peoples' Friendship University of Russia,Ulitsa Miklukho-Maklaya 6,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
St. Petersburg State University,University Embankment 7/9,St Petersburg,St Petersburg,Russia,NA,NA,NA,"St Petersburg, Russia",59.938732,30.316229
Ivanovo State University,Ulitsa Yermaka 39,Ivanovo,Ivanovo Oblast,Russia,NA,NA,NA,"Ivanovo, Russia",57.0088004,40.96306331898382
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Ufa State Petroleum Technological University (USPTU),Ulitsa Chernyshevskogo 145,Ufa,Republic of Bashkortostan,Russia,NA,NA,NA,"Ufa, Russia",54.7261409,55.947499
St. Petersburg State University,University Embankment 7/9,St Petersburg,St Petersburg,Russia,NA,NA,NA,"St Petersburg, Russia",59.938732,30.316229
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
"prospekti Vernadskogo, д. 82, Moscow, Russia, 119571",prospekti Vernadskogo д. 82,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Maritime State University,Ulitsa Verkhneportovaya 50а,Vladivostok,Primorsky Krai,Russia,NA,NA,NA,"Vladivostok, Russia",43.1150678,131.8855768
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Saratov State University,Ulitsa Vol'skaya 10а,Saratov,Saratov Oblast,Russia,NA,NA,NA,"Saratov, Russia",51.530018,46.034683
Pacific State University,Prospekt Ostryakova 2,Vladivostok,Primorsky Krai,Russia,NA,NA,NA,"Vladivostok, Russia",43.1150678,131.8855768
Far Eastern Federal University,Ulitsa Mordovtseva 1 строение 2,Vladivostok,Primorsky Krai,Russia,NA,NA,NA,"Vladivostok, Russia",43.1150678,131.8855768
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
St. Petersburg State University,University Embankment 7/9,St Petersburg,St Petersburg,Russia,NA,NA,NA,"St Petersburg, Russia",59.938732,30.316229
Ural Federal University,Lenin Ave 51,Yekaterinburg,Sverdlovsk Oblast,Russia,NA,NA,NA,"Yekaterinburg, Russia",56.839104,60.60825
Kazan Federal University,Kremlyovskaya St 18,Kazan,Respublika Tatarstan,Russia,NA,NA,NA,"Kazan, Russia",55.7823547,49.1242266
Sobolev Institute of Mathematics,Prospekt Akademika Koptyuga 4,Novosibirsk,Novosibirsk Oblast,Russia,NA,NA,NA,"Novosibirsk, Russia",54.96781445,82.95159894278376
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Petrozavodsk State University,Prospekt Lenina 33,Petrozavodsk,Republic of Karelia,Russia,NA,NA,NA,"Petrozavodsk, Russia",61.7900426,34.390007
Volograd State University,Prospekt Universitetskiy 100,Volgograd,Volgograd Oblast,Russia,NA,NA,NA,"Volgograd, Russia",48.7081906,44.5153353
Kazan Federal University,Kremlyovskaya St 18,Kazan,Respublika Tatarstan,Russia,NA,NA,NA,"Kazan, Russia",55.7823547,49.1242266
Immanuel Kant Baltic Federal University,Ulitsa Aleksandra Nevskogo 14,Kaliningrad,Kaliningrad Oblast,Russia,NA,NA,NA,"Kaliningrad, Russia",54.70464845,20.456566646621738
Russian State University,Miusskaya Ploshchad' 6,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
European University At St Petersburg,Shpalernaya Ulitsa 1,St Petersburg,St Petersburg,Russia,NA,NA,NA,"St Petersburg, Russia",59.938732,30.316229
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Kostroma State University,Ulitsa Dzerzhinskogo 17,Kostroma,Kostroma Oblast,Russia,NA,NA,NA,"Kostroma, Russia",57.79648535,40.96933053522937
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
"prospekti Vernadskogo, д. 82, Moscow, Russia, 119571",prospekti Vernadskogo д. 82,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Plekhanov Russian University of Economics,Stremyannyy Pereulok 36 ауд. 529,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Russian National Research Medical University,Ulitsa Ostrovityanova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
"prospekti Vernadskogo, д. 82, Moscow, Russia, 119571",prospekti Vernadskogo д. 82,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Kazan Federal University,Kremlyovskaya St 18,Kazan,Respublika Tatarstan,Russia,NA,NA,NA,"Kazan, Russia",55.7823547,49.1242266
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
St. Petersburg State University,University Embankment 7/9,St Petersburg,St Petersburg,Russia,NA,NA,NA,"St Petersburg, Russia",59.938732,30.316229
Pavlov First State Medical University of St. Petersburg,Ulitsa L'va Tolstogo 6-8,St Petersburg,St Petersburg,Russia,NA,NA,NA,"St Petersburg, Russia",59.938732,30.316229
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Skolkovo Institute of Science and Technology (Skoltech),Bol'shoy Bul'var 30 стр 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Russian State University,Miusskaya Ploshchad' 6,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
"prospekti Vernadskogo, д. 82, Moscow, Russia, 119571",prospekti Vernadskogo д. 82,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Kazan Federal University,Kremlyovskaya St 18,Kazan,Respublika Tatarstan,Russia,NA,NA,NA,"Kazan, Russia",55.7823547,49.1242266
Kabardino-Balkarian State University,Ulitsa Chernyshevskogo 173,Nalchik,Kabardino-Balkarian Republic,Russia,NA,NA,NA,"Nalchik, Russia",43.4769604,43.5966578
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
ITMO University,Kronverkskiy Prospekt 49,St Petersburg,St Petersburg,Russia,NA,NA,NA,"St Petersburg, Russia",59.938732,30.316229
Russian Academy of Sciences (RAS),Leninskiy Prospekt 14,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Irkutsk State University,Karl Marx St 1,Irkutsk,Irkutsk Oblast,Russia,NA,NA,NA,"Irkutsk, Russia",56.6370122,104.719221
"prospekti Vernadskogo, д. 82, Moscow, Russia, 119571",prospekti Vernadskogo д. 82,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
HSE University,Myasnitskaya Ulitsa 20,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
Moscow State University,Ulitsa Kolmogorova 1,Moscow,Moscow,Russia,NA,NA,NA,"Moscow, Russia",55.625578,37.6063916
