,ID_PER,CVE_ENT,NOM_ENT,CEN_INT,NOM_INT,COD_RES,SEXO,FUERO,P2_1,P2_2,P2_3_01,P2_3_02,P2_3_03,P2_3_04,P2_3_05,P2_3_06,P2_3_07,P2_3_08,P2_3_09,P2_3_10,P2_3_98,P2_3_99,P2_4,P2_5,P2_6,P2_7_1,P2_8A_1,P2_8M_1,P2_9_1,P2_7_2,P2_8A_2,P2_8M_2,P2_9_2,P2_7_3,P2_8A_3,P2_8M_3,P2_9_3,P2_7_4,P2_8A_4,P2_8M_4,P2_9_4,P2_7_5,P2_8A_5,P2_8M_5,P2_9_5,P2_7_6,P2_8A_6,P2_8M_6,P2_9_6,P2_7_7,P2_8A_7,P2_8M_7,P2_9_7,P2_7_8,P2_8A_8,P2_8M_8,P2_9_8,P2_7_9,P2_8A_9,P2_8M_9,P2_9_9,P2_7_10,P2_8A_10,P2_8M_10,P2_9_10,P2_10_E,R2_10_CVE,R2_10_X,P2_11,P2_12,P2_13,P2_14_1,P2_14_2,P2_14_3,P2_14_4,P2_14_5,P2_14_6,P2_14_7,P2_14_8,P2_14_9,P2_15,P3_1,P3_2,P3_2A_01,P3_2A_02,P3_2A_03,P3_2A_04,P3_2A_05,P3_2A_06,P3_2A_07,P3_2A_08,P3_2A_98,P3_2A_99,P3_3,P3_4,P3_5_D,P3_5_M,P3_5_A,P3_6,P3_7,P3_8_D,P3_8_M,P3_8_A,P3_9,P3_10,P3_11,P3_12_1,P3_12_2,P3_12_3,P3_12_4,P3_12_5,P3_13_01,P3_13_02,P3_13_03,P3_13_04,P3_13_05,P3_13_06,P3_13_07,P3_13_08,P3_13_09,P3_13_10,P3_13_11,P3_13_12,P3_14_1,P3_14_2,P3_14_3,P3_14_4,P3_14_5,P3_14_6,P3_15_1,P3_15_2,P3_15_3,P3_15_4,P3_15_5,P3_15_6,P3_15_7,P3_15_8,P3_15_9,P3_16,P3_17_01,P3_17_02,P3_17_03,P3_17_04,P3_17_05,P3_17_06,P3_17_07,P3_17_08,P3_17_09,P3_17_10,P3_17_11,P3_18_01,P3_18_02,P3_18_03,P3_18_04,P3_18_05,P3_18_06,P3_18_07,P3_18_08,P3_18_09,P3_18_10,P3_18_11,P3_18_12,P3_18_13,P3_18_14,P3_18_15,P3_19,P3_20,P3_21_1,P3_21_2,P3_22_1,P3_22_2,P3_22_3,P3_22_4,P3_22_5,P3_22_8,P3_22_9,P3_23,P3_24,P3_25,P3_26,EST_DIS,FAC_PER,FPC
1,101.0001,13,Hidalgo,NA,NA,1,1,2,22,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,"CORTE DE CESPED, ELETRICISTA Y SOLDADOR",5299,5,1,NA,NA,1,2,1,1,2,1,2,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,16,8,12,2017,13,29,17,11,2017,3,3,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,1,2,2,2,NA,1,1,2,1,1,1,1,2,2,NA,NA,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,0,0,0,0,0,0,2,NA,1,5,883.1,3.9811320754717,0.258536585365854
2,101.1432,1,Aguascalientes,NA,NA,1,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,6,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,COMERCIANTE,4111,4,1,NA,NA,1,1,1,1,2,1,1,2,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,5,2013,1,1,98,4,2012,6,3,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,872.2,1.05,0.991735537190083
3,101.1477,9,Ciudad de M�xico,15,RECLUSORIO PREVENTIVO VARONIL ORIENTE,1,1,2,9,2,0,0,1,1,0,0,0,0,0,0,0,0,1,3,1,1,2,6,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,POLICIA MUNICIPAL,5312,5,1,NA,NA,1,2,1,1,2,2,1,2,2,4,1,9,0,1,0,1,0,0,0,0,0,0,9,3,25,2,2009,9,3,98,10,2007,6,5,2,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,4,1,2,1,0,0,0,0,0,0,2,NA,2,NA,210.1,11.7041666666667,0.198019801980198
4,101.2131,32,Zacatecas,NA,NA,1,1,2,32,1,0,0,1,1,0,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,CAMPO,6119,6,1,NA,NA,1,1,2,1,2,1,2,2,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,10,4,5,2017,32,10,98,4,2017,2,4,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,NA,1,1,2,1,1,1,2,2,2,NA,NA,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2294.1,3.22857142857143,0.416666666666667
5,101.298,28,Tamaulipas,NA,NA,1,1,2,28,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,ENCARGADO DE UN CENTRO REHABILITACION,5201,5,1,NA,NA,1,2,1,1,2,1,3,2,2,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,27,29,5,2013,28,27,15,5,2013,5,5,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1979.1,3.04597701149425,0.36864406779661
6,101.2982,3,Baja California Sur,NA,NA,1,1,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,0,7,2,2,NA,NA,NA,PESCADOR,6211,6,1,NA,NA,1,1,1,1,1,1,1,2,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,2011,3,1,29,1,2010,2,2,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,2,1,1,1,2,NA,2,1,2,1,1,1,1,2,2,NA,NA,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2420.1,1.57831325301205,0.638461538461538
7,101.3717,21,Puebla,NA,NA,1,2,2,21,3,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,TRABAJADORA DOMESTICA,9611,9,1,NA,NA,1,2,1,1,2,1,1,2,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,132,29,1,2021,21,132,29,1,2021,1,4,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,NA,2,1,1,1,2,1,1,2,2,NA,NA,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2749.2,1.12,0.961538461538462
8,101.3859,16,Michoac�n de Ocampo,NA,NA,1,2,2,16,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,EN EL CAMPO,6119,6,1,NA,NA,1,1,1,2,1,1,1,1,9,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,39,22,11,2011,16,11,22,11,2011,1,5,3,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,1,2,2,NA,NA,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,3,98,1,1,1,0,0,0,0,0,0,2,NA,1,5,931.2,1.19047619047619,0.875
9,101.4401,15,Estado de M�xico,31,CERESO CHALCO MIXQUIC,1,1,2,30,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,PULIDOR,7999,7,1,NA,NA,1,2,1,1,2,1,1,1,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,14,5,2014,15,39,98,11,2013,5,4,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,10,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2604.1,3.77329192546584,0.22258064516129
10,101.4449,3,Baja California Sur,NA,NA,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,CAMPO AGRICOLA,6119,6,1,NA,NA,1,2,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,15,5,2011,3,3,17,5,2010,6,3,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,286.1,1.53872053872054,0.616182572614108
